abandon vt.；丢弃；放弃，抛弃
artist n.；艺术家，美术家
artistic adj.；艺术的；艺术家的
as conj.；当…的时候
author n.；作者，作家
authority n.；当局，官方；权力
auto n.(口语)汽车
automatic adj.；自动的；机械的
automation n.；自动，自动化
automobile n.；汽车，机动车
autumn n.；秋，秋季
auxiliary adj.；辅助的；附属的
available adj.；可利用的；通用的
avenue n.；林荫道，道路；大街
average n.；平均数；adj.；平均的
aviation n.；航空，航空学
avoid vt.；避免，躲开；撤消
await vt.；等候，期待
accustom vt.；使习惯
accustomed adj.；惯常的；习惯的
ache vi.；痛；想念；n.；疼痛
achieve vt.；完成，实现；达到
achievement n.；完成；成就，成绩
acid n.；酸；酸的，酸性的
acquaintance n.；认识；了解；熟人
acquire vt.；取得；获得；学到
acre n.；英亩(=6.07亩)
across prep.；横过；在…对面
act vi.；行动；见效；n.；行为
action n.；行动；作用；功能
active adj.；活跃的；积极的
activity n.；活动；活力；行动
actor n.；男演员；演剧的人
actress n.；女演员
actual adj.；实际的；现行的
actually adv.；实际上；竟然
acute adj.；尖的，锐的；敏锐的
ad n.；广告
adapt vt.；使适应；改编
add vt.；添加，附加，掺加
addition n.；加，加法；附加物
additional adj.；附加的，追加的
address n.；地址；演说；谈吐
adequate adj.；足够的；可以胜任的
adjective n.；形容词；adj.；形容词的
adjust vt.；调整，调节；校正
administration n.；管理；管理部门
admire vt.；钦佩，羡慕，赞赏
admission n.；允许进入；承认
admit vt.；承认；准许…进入
adopt vt.；收养；采用；采取
adult n.；成年人；adj.；成年的
advance vi.；前进；提高；n.；进展
advanced adj.；先进的；高级的
advantage n.；优点，优势；好处
adventure n.；冒险；惊险活动
adverb n.；副词
advertisement n.；广告；公告；登广告
advice n.；劝告；忠告；意见
advisable n.；明智的；可取的
advise vt.；劝告；建议；通知
aeroplane n.；飞机
affair n.；事情，事件；事务
affect vt.；影响；感动
aluminium n.；铝
always adv.；总是，一直；永远
amaze vt.；使惊奇，使惊愕
ambition n.；雄心，抱负，野心
ambulance n.；救护车；野战医院
America n.；美洲；美国
American adj.；美洲的；n.；美国人
among prep.；在…之中
amongst prep.；在…之中(=among)
amount n.；总数；数量；和
ampere n.；安培
amplify vt.；放大，增强；扩大
amuse vt.；逗…乐；给…娱乐
analyse vt.；分析，分解，解析
analysis n.；分析，分解，解析
ancestor n.；祖宗，祖先
anchor n.；锚；vi.；抛锚，停泊
ancient adj.；古代的，古老的
and conj.；和，又，并，则
angel n.；天使，神差，安琪儿
anger n.；怒，愤怒；vt.；使发怒
angle n.；角，角度
angry adj.；愤怒的，生气的
animal n.；动物，兽；adj.；动物的
ankle n.；踝，踝节部
announce vt.；宣布，宣告，发表
announcer n.；宣告者；播音员
annoy vt.；使恼怒；打搅
annual adj.；每年的；n.；年报
another adj.；再一个的；别的
answer vt.；回答；响应；适应
ant n.；蚂蚁
anticipate vt.；预料，预期，期望
anxiety n.；焦虑，忧虑；渴望
anxious adj.；忧虑的；渴望的
any adj.；什么，一些；任何的
anybody prep.；任何人
anyhow adv.；无论如何
anyone pron.；任何人
anything pron.；任何事物；一切
anyway adv.；无论如何
anywhere adv.；在什么地方
apart adv.；相隔；分开；除去
apartment n.；一套公寓房间
apologize vi.；道歉，谢罪，认错
ash n.；灰，灰末；骨灰
ashamed adj.；惭愧(的)；羞耻(的)
Asia n.；亚洲
Asian adj.；亚洲的；n.；亚洲人
aside adv.；在旁边，到旁边
ask vt.；问；要求；邀请
asleep adj.；睡着的，睡熟的
aspect n.；方面；样子，外表
assemble vt.；集合，召集；装配
assembly n.；集合；集会；装配
assess vt.；对(财产等)估价
assign vt.；指派；分配；指定
assignment n.；任务，指定的作业
assist vt.；援助，帮助；搀扶
assistant n.；助手，助理；助教
associate vi.；交往；n.；伙伴，同事
association n.；协会，团体；联合
assume vt.；假定；承担；呈现
assure vt.；使确信；向…保证
astonish vt.；使惊讶，使吃惊
astronaut n.；宇宙航行员，宇航员
at prep.；在…里；在…时
athlete n.；运动员；田径运动员
Atlantic adj.；大西洋的；n.；大西洋
atmosphere n.；大气；空气；气氛
atmospheric adj.；大气的；大气层的
atom n.；原子；微粒；微量
atomic adj.；原子的；原子能的
attach vt.；缚，系，贴；附加
attack vt.&vi.&n.；攻击，进攻
attain vt.；达到，获得，完成
attempt vt.；尝试，试图；n.；企图
attend vt.；出席；照顾，护理
attention n.；注意，留心；注意力
attentive adj.；注意的；有礼貌的
attitude n.；态度，看法；姿势
attract vt.；吸引；引起，诱惑
attraction n.；吸引；吸引力；引力
attractive adj.；有吸引力的
attribute vt.；把…归因于；n.；属性
audience n.；听众，观众，读者
August n.；八月
aunt n.；伯母，婶母，姑母
aural adj.；耳的，听觉的
Australia n.；澳大利亚
Australian adj.；澳大利亚的
awake adj.；醒着的；vt.；唤醒
award n.；奖，奖品；判定
aware adj.；知道的，意识到的
away adv.；离开，远离；…去
awful adj.；令人不愉快的
awfully adv.；令人畏惧的；很
awkward adj.；笨拙的；尴尬的
ax n.；斧子
axis n.；轴，轴线；中心线
baby n.；婴儿；孩子气的人
back adv.；在后；回原处；回
background n.；背景，后景，经历
backward adj.；向后的；倒的；adv.；倒
bacteria n.；细菌
bad adj.；坏的，恶的；严重的
badly adv.；坏，差；严重地
badminton n.；羽毛球
bag n.；袋，包，钱包，背包
baggage n.；行李
bake vt.；烤，烘，焙；烧硬
balance vt.；使平衡；称；n.；天平
ball n.；球，球状物；舞会
balloon n.；气球，玩具气球
banana n.；香蕉；芭蕉属植物
band n.；乐队；带；波段
bang n.；巨响，枪声；猛击
bank n.；银行；库；岩，堤
banner n.；旗，旗帜，横幅
bar n.；酒吧间；条，杆；栅
barber n.；理发师
bare adj.；赤裸的；仅仅的
bargain n.；交易；vi.；议价；成交
bark n.；吠叫声；vi.；吠，叫
barn n.；谷仓；牲口棚
barrel n.；桶；圆筒；枪管
barrier n.；栅栏，屏障；障碍
base n.；基础，底层；基地
basic adj.；基本的，基础的
basically adv.；基本上
basin n.；盆，洗脸盆；盆地
basis n.；基础，根据
basket n.；篮，篓，筐
basketball n.；篮球；篮球运动
bat n.；球拍；短棍；蝙蝠
bath n.；浴，洗澡；浴缸
bathe vt.；给…洗澡；弄湿
bathroom n.；浴室；盥洗室
battery n.；电池；一套，一组
battle n.；战役；斗争；vi.；作战
bay n.；湾；山脉中的凹处
be aux.v.&vi.；是，在，做
beach n.；海滩，湖滩，河滩
beam n.；梁；横梁；束，柱
bean n.；豆，蚕豆
bear n.；熊；粗鲁的人
bear vt.；容忍；负担；生育
beard n.；胡须，络腮胡子
beast n.；兽，野兽；牲畜
beat vt.&vi.；打，敲；打败
beautiful adj.；美的，美丽的
beauty n.；美，美丽；美人
because conj.；由于，因为
become vi.；变成；成为，变得
bed n.；床，床位；圃；河床
bee n.；蜂，密蜂；忙碌的人
beef n.；牛肉；菜牛
beer n.；啤酒
before prep.；在…以前；向…
beg vt.&vi.；乞求；请求
beggar n.；乞丐，穷人
begin vi.；开始；vt.；开始
beginner n.；初学者，生手
beginning n.；开始，开端；起源
behalf n.；利益，维护，支持
behave vi.；表现，举止；运转
behavior n.；行为，举止，态度
behind prep.；在…后面
brandy n.；白兰地酒
brass n.；黄铜；黄铜器
brave adj.；勇敢的，华丽的
bread n.；面包；食物，粮食
breadth n.；宽度，幅度；幅面
break vt.；打破；损坏；破坏
breakfast n.；早饭，早餐
breast n.；乳房；胸脯，胸膛
breath n.；气息，呼吸；气味
breathe vi.；呼吸；vt.；呼吸
breed n.；品种；vt.；使繁殖
breeze n.；微风，和风
brick n.；砖，砖块；砖状物
bridge n.；桥，桥梁；桥牌
brief adj.；简短的；短暂的
bright adj.；明亮的；聪明的
brighten vt.；使发光；使快活
brilliant adj.；光辉的；卓越的
brim n.；边，边缘；帽沿
bring vt.；带来；引出；促使
brisk adj.；活泼的；清新的
bristle n.；短而硬的毛；鬃毛
Britain n.；不列颠，英国
British adj.；不列颠的，英联邦的
brittle adj.；脆的；易损坏的
broad adj.；宽的，阔的；广泛的
broadcast n.；广播，播音
broken adj.；被打碎的，骨折的
bronze n.；青铜；青铜制品
brood n.；同窝幼鸟；vt.；孵(蛋)
brook n.；小河，溪流
broom n.；扫帚
brother n.；兄弟；同事，同胞
brow n.；额；眉，眉毛
brown n.；褐色，棕色
bruise n.；青肿，伤痕；擦伤
brush n.；刷子，毛刷；画笔
brute n.；禽兽，畜生
bubble n.；泡；vi.；冒泡，沸腾
bucket n.；水桶；吊桶；铲斗
bud n.；芽，萌芽；蓓蕾
build vt.；建筑；建立；创立
building n.；建筑物，大楼；建筑
bullet n.；枪弹，子弹，弹丸
bunch n.；束，球，串；一群
bundle n.；捆，包，束；包袱
burden n.；担子，重担；装载量
bureau n.；局，司，处；社，所
burn vi.；烧，燃烧；n.；烧伤
burst vt.；使爆裂；vi.&n.；爆炸
bury vt.；埋葬，葬；埋藏
buy vt.；买，购买；vi.；买
by prep.；在…旁；被，由
being n.；存在；生物；生命
belief n.；信任，相信；信念
believe vt.；相信；认为
bell n.；钟，铃，门铃；钟声
belong vi.；属于，附属
beloved adj.；为…的爱的；n.；爱人
below prep.；在…下面(以下)
belt n.；带，腰带；皮带；区
bench n.；长凳，条凳；工作台
bend vt.；使弯曲；vi.；弯曲
beneath prep.；在…下方
beneficial adj.；有利的，有益的
benefit n.；利益；恩惠；津贴
berry n.；浆果(如草莓等)
beside prep.；在…旁边
besides adv.；而且；prep.；除…之外
best adj.；最好的；最大的
bet vt.&vi.&n.；打赌
betray vt.；背叛；辜负；泄漏
better adj.；较好的；adv.；更好地
between prep.；在…中间
beyond prep.；在…的那边
Bible n.；基督教《圣经》
bicycle n.；自行车，脚踏车
big adj.；大的，巨大的
bike n.；自行车；vi.；骑自行车
bill n.；账单；招贴；票据
billion num.；万亿(英)
bind vt.；捆绑；包扎；装钉
biology n.；生物学；生态学
bird n.；鸟，禽
birth n.；分娩，出生；出身
birthday n.；生日，诞生的日期
biscuit n.(英)饼干；(美)软饼
bit n.；一点，一些，小片
bite vt.；咬，叮，螫；剌穿
bitter adj.；痛苦的；严寒的
bitterly adv.；苦苦地；悲痛地
black adj.；黑色的；黑暗的
blackboard n.；黑板
blade n.；刀刃，刀片；叶片
blame vt.；责备，把…归咎于
blank adj.；空白的；n.；空白
blanket n.；毛毯，毯子，羊毛毯
blast n.；爆炸，冲击波；vt.；炸
blaze n.；火；闪光；vi.；燃烧
bleed vi.；出血，流血；泌脂
blend vt.&vi.&n.；混和
bless vt.；为…祝福
blind adj.；瞎的；盲目的
block n.；街区；vt.；堵塞，拦阻
blood n.；血，血液；血统
bloom n.；花；开花，开花期
blossom n.；花，开花；vi.；开花
blow vi.；吹，吹动；吹响
blue adj.；蓝色的；n.；蓝色
board n.；板；vt.；上(船、车等)
boast vi.；自夸；vt.；吹嘘
boat n.；小船，艇；渔船
body n.；身体；主体；尸体
boil vi.；沸腾；汽化；vt.；煮沸
bold adj.；大胆的；冒失的
bolt n.；螺栓；插销；vt.；闩门
bomb n.；炸弹；vt.；轰炸
bond n.；联结，联系；公债
bone n.；骨，骨骼
book n.；书，书籍；vt.；预定
boot n.；靴子，长统靴
booth n.；货摊；公用电话亭
border n.；边，边缘；边界
bore vt.；使厌烦；钻，挖
born adj.；天生的；出生的
borrow vt.；借，借用，借人
bosom n.；胸，胸部；内心
boss n.；老板，上司；vt.；指挥
both pron.；两者(都)
bother vt.；烦扰，迷惑；n.；麻烦
bottle n.；瓶，酒瓶；一瓶
bottom n.；底，底部，根基
bough n.；树枝
bounce vi.；反跳，弹起；跳起
bound adj.；一定的；有义务的
boundary n.；分界线，办界
bow n.；弓；蝴蝶结；鞠躬
bowl n.；碗，钵；碗状物
box n.；箱，盒；包箱
box vi.；拳击，打拳
boy n.；男孩，少年；家伙
brain n.；脑，脑髓；脑力
brake n.；闸，刹车；vi.；制动
branch n.；树枝；分部；分科
brand n.；商品；烙印；vt.；铭刻
bullet n.；枪弹，子弹，弹丸
bunch n.；束，球，串；一群
bundle n.；捆，包，束；包袱
burden n.；担子，重担；装载量
bureau n.；局，司，处；社，所
burn vi.；烧，燃烧；n.；烧伤
burst vt.；使爆裂；vi.&n.；爆炸
bury vt.；埋葬，葬；埋藏
bus n.；公共汽车
bush n.；灌木，灌木丛，矮树
business n.；商业，生意；事务
busy adj.；忙的，繁忙的
but conj.；但是，可是
butcher n.；屠夫；屠杀者
butter n.；黄油；奶油
butterfly n.；蝴蝶
button n.；扣子；按钮；vt.；扣紧
buy vt.；买，购买；vi.；买
by prep.；在…旁；被，由
bulb n.；电灯泡；球状物
bulk n.；物体，容积，大批
bull n.；公牛；雄的象
bus n.；公共汽车
bush n.；灌木，灌木丛，矮树
business n.；商业，生意；事务
busy adj.；忙的，繁忙的
but conj.；但是，可是
butcher n.；屠夫；屠杀者
butter n.；黄油；奶油
butterfly n.；蝴蝶
button n.；扣子；按钮；vt.；扣紧
candle n.；蜡烛；烛形物；烛光
candy n.；糖果；砂糖结晶
cannon n.；大炮，火炮；榴弹炮
canoe n.；独木舟，皮艇，划子
canteen n.；小卖部；临时餐室
canvas n.；粗帆布；一块油画布
cap n.；帽子，便帽；帽状物
capable adj.；有能力的，有才能的
capacity n.；容量；能力；能量
capital n.；资本，资金；首都
captain n.；陆军上尉；队长
captive n.；俘虏，被监禁的人
capture vt.；捕获，俘获；夺得
car n.；汽车，小汽车，轿车
carbon n.；碳
card n.；卡，卡片，名片
care vi.；关心，介意；n.；小心
career n.；生涯，职业，经历
careful adj.；仔细的；细致的
careless adj.；粗心的，漫不经心的
cargo n.；船货，货物
carpenter n.；木工，木匠
carpet n.；地毯，毡毯，毛毯
carriage n.；客车厢；四轮马车
carrier n.；运输工具；运载工具
carrot n.；胡罗卜
carry vt.；携带；运载；传送
cart n.；二轮运货马车
carve vt.；刻，雕刻；切开
case n.；情况；事实；病例
case n.；箱(子)，盒(子)，套
cash n.；现金，现款
cassette n.；盒式录音带；盒子
cast vt.；投，扔，抛；浇铸
castle n.；城堡；巨大建筑物
casual adj.；偶然的；随便的
cat n.；猫，猫科，猫皮
catalog n.；目录，目录册
catch vt.；捉住；赶上；领会
cathedral n.；总教堂；大教堂
cattle n.；牛；牲口，家畜
cause n.；原因，理由；事业
cave n.；山洞，洞穴，窑洞
cease vi.&vi.&n.；停止，停息
ceiling n.；天花板，顶蓬
celebrate vt.；庆祝；歌颂，赞美
chew vt.；咀嚼，嚼碎
chicken n.；小鸡，小鸟；鸡肉
chief adj.；主要的；首席的
child n.；小孩，儿童；儿子
childhood n.；童年，幼年；早期
childish adj.；孩子的；幼稚的
chill vt.；使变冷；n.；寒冷
chimney n.；烟囱，烟筒；玻璃罩
chin n.；颏，下巴
China n.；中国
china n.；瓷器，瓷料
Chinese adj.；中国的；n.；中国人
chocolate n.；巧克力；巧克力糖
choice n.；选择，抉择
choke vt.；使窒息；塞满
choose vt.；选择，挑选；情愿
chop vt.；砍，劈；切细；vi.；砍
Christian n.；基督教徒；信徒
Christmas n.；圣诞节
church n.；教堂，礼拜堂；教会
cigarette n.；香烟，纸烟，卷烟
cinema n.；电影院；电影，影片
circle n.；圆，圆周；圈子
circuit n.；电路；环行；巡行
circular adj.；圆的；循环的
circulate vt.；使循环；vi.；循环
circumference n.；圆周，周长，圆周线
circumstance n.；情况，条件；境遇
citizen n.；公民；市民，居民
city n.；城市，都市
civil adj.；公民的；文职的
civilization n.；文明，文化；开化
civilize vt.；使文明；教育
claim vt.；声称，主张；索取
clap vi.；拍手；vt.；拍，轻拍
clarify vt.；澄清，阐明
clasp n.；扣子，钩子；别针
class n.；班，班级；阶级
classical adj.；古典的；经典的
classification n.；分类；分级；分类法
classify vt.；把…分类
classmate n.；同班同学
classroom n.；教室，课堂
claw n.；爪，脚爪，螯
clay n.；粘土，泥土；肉体
clean adj.；清洁的；纯洁的
come vi.；来，来到；出现
comfort n.；舒适；安慰；vt.；安慰
comfortable adj.；舒适的，安慰的
command vt.；命令，指挥；控制
commander n.；司令官，指挥员
comment n.；评论，意见；注释
commerce n.；商业，贸易；社交
commercial adj.；商业的；商品化的
commission n.；委任状；委员会
commit vt.；犯(错误)；干(坏事)
committee n.；委员会；全体委员
common adj.；普通的；共同的
commonly adv.；普通地，一般地
communicate vi.；通讯；传达；传播
communication n.；通讯；传达；交通
communism n.；共产主义
communist n.；共产党员
community n.；社区；社会；公社
companion n.；同伴；共事者；伴侣
company n.；公司，商号；同伴
comparative adj.；比较的，相对的
compare vt.；比较，对照；比作
comparison n.；比较，对照；比似
compass n.；罗盘，指南针；圆规
compel vt.；强迫，迫使屈服
compete vi.；比赛；竞争；对抗
competent adj.；有能力的；应该做的
competition n.；竞争，比赛
compile vt.；编辑，编制，搜集
complain vi.；抱怨，拆苦；控告
complaint n.；抱怨；怨言；控告
complete adj.；完整的；完成的
completely adv.；十分，完全地
complex adj.；结合的；复杂的
complicate vt.；使复杂；使陷入
complicated adj.；复杂的，难懂的
component n.；组成部分；分；组件
compose vt.；组成，构成；创作
composition n.；构成；作品；写作
compound n.；化合物；复合词
comprehension n.；理解，理解力；领悟
comprehensive adj.；广泛的；理解的
compress vt.；压紧，压缩
comprise vt.；包含，包括；构成
compromise n.；妥协，和解
compute vt.；计算，估计，估算
consist vi.；由…组成；在于
consistent adj.；坚持的，一贯的
constant adj.；经常的；永恒的
constitution n.；章程；体质；构造
construct vt.；建造；建设；构筑
construction n.；建造；建筑；建筑物
consult vt.；请教，查阅
consume vt.；消耗，消费；消灭
consumption n.；消耗量；消耗
contact vt.；使接触；与…联系
contain vt.；包含，容纳；等于
container n.；容器；集装箱
contemporary adj.；当代的，同时代的
contempt n.；轻蔑；藐视；受辱
content n.；内容，目录；容量
content adj.；满意的，满足的
contest vt.；争夺，争取；辩驳
continent n.；大陆；陆地；洲
continual adj.；不断的；连续的
continue vt.；继续，连续；延伸
continuous adj.；连续不断的，持续的
contract n.；契约，合同；婚约
contradiction n.；矛盾，不一致；否认
contrary adj.；相反的；n.；相反
contrast n.；对比，对照，悬殊
contribute vt.；捐献，捐助；投稿
control vt.；控制，克制；n.；控制
convenience n.；便利，方便；厕所
convenient adj.；便利的；近便的
convention n.；习俗，惯例；公约
conventional adj.；普通的；习惯的
conversation n.；会话，非正式会谈
conversely adv.；相反地
conversion n.；转变，转化；改变
convert vt.；使转变；使改变
convey vt.；传送；运送；传播
convince vt.；使确信，使信服
cook vt.；烹调，煮；vt.；烧菜
cool adj.；凉的，冷静的
cooperate vi.；合作，协作；配合
coordinate vt.；使协调，调节
cope vi.；对付，应付
copper n.；铜；铜币，铜制器
copy n.；抄件；vt.；抄写，复制
cord n.；细绳，粗线，索
cordial adj.；真诚的，诚恳的
cripple n.；跛子；残废的人
crisis n.；危机；存亡之际
critic n.；批评家，爱挑剔的人
critical adj.；决定性的；批评的
criticism n.；批评；批判；评论
criticize vt.；批评；评论；非难
crop n.；农作物，庄稼；一熟
cross vt.；穿过；使交叉
crow n.；鸦，乌鸦；vi.；啼
crowd n.；群；大众；一伙人
crown n.；王冠，冕；花冠
crude adj.；简陋的；天然的
cruel adj.；残忍的，残酷的
crush vt.；压碎，碾碎；镇压
crust n.；面包皮；硬外皮
cry vi.；哭，哭泣；叫喊
crystal n.；水晶，结晶体；晶粒
cube n.；立方形；立方
cubic adj.；立方形的；立方的
cucumber n.；黄瓜
cultivate vt.；耕；种植；培养
culture n.；文化，文明；教养
cunning adj.；狡猾的，狡诈的
cup n.；杯子；(一)杯；奖杯
cupboard n.；碗柜，碗碟橱；食橱
cure vt.；医治；消除；n.；治愈
curiosity n.；好奇，好奇心；珍品
curious adj.；好奇的；稀奇古怪的
curl n.；卷毛；螺旋；vi.；卷曲
current adj.；当前的；通用的
curse n.；诅咒，咒骂；天谴
curtain n.；帘，窗帘；幕(布)
curve n.；曲线；弯；vt.；弄弯
cabbage n.；洋白菜，卷心菜
cabin n.；小屋；船舱，机舱
cabinet n.；橱，柜；内阁
cable n.；缆，索；电缆；电报
cafe n.；咖啡馆；小餐厅
cafeteria n.；自助食堂
cage n.；笼；鸟笼，囚笼
cake n.；饼，糕，蛋糕
calculate vt.；计算；估计；计划
calculation n.；计算，计算结果
calculator n.；计算器，计算者
calendar n.；日历，历书；历法
call vt.；把…叫做；叫，喊
calm adj.；静的，平静的
camel n.；骆驼
camera n.；照相机，摄影机
camp n.；野营，营地，兵营
campaign n.；战役；运动
campus n.；校园，学校场地
can aux.v.；能，会，可能
can n.；罐头，听头；容器
Canada n.；加拿大
Canadian adj.；加拿大的
canal n.；运河；沟渠；管
cancel vt.；取消，撤消；删去
cancer n.；癌，癌症，肿瘤
candidate n.；候选人；投考者
cell n.；细胞；小房间
cellar n.；地窑，地下室
cement n.；水泥；胶泥；vt.；粘结
cent n.；分；分币；百
centigrade adj.；百分度的
centimetre n.；公分，厘米
central adj.；中心的；主要的
centre n.；中心；中枢；vt.；集中
century n.；世纪，百年
ceremony n.；典礼，仪式；礼节
certain adj.；确实的；肯定的
certainly adv.；一定，必定；当然
certainty n.；必然；肯定
certificate n.；证书，证件，执照
chain n.；链，链条，项圈
chair n.；椅子；主席
chairman n.；主席；议长，会长
chalk n.；白垩；粉笔
challenge n.；挑战；要求，需要
chamber n.；会议室；房间；腔
champion n.；冠军，得胜者
chance n.；机会，机遇；可能性
change n.；改变，变化；零钱
channel n.；海峡；渠道；频道
chapter n.；章，回，篇
character n.；性格；特性；角色
characteristic adj.；特有的；n.；特性
charge vt.；索价；控告；n.；费用
charity n.；施舍；慈善事业
charming adj.；迷人的，可爱的
chart n.；图，图表；海图
chase n.；追逐，追赶，追求
cheap adj.；廉价的；劣质的
cheat vt.；骗取；哄；vi.；行骗
check vt.；检查；制止；n.；检查
cheek n.；面颊，脸蛋
cheer vt.；使振作；欢呼
cheerful adj.；快乐的，愉快的
cheese n.；乳酪，干酪
chemical adj.；化学的；n.；化学制品
chemist n.；化学家；药剂师
chemistry n.；化学
cheque n.；支票
cherry n.；樱桃；樱桃树
chess n.；棋；国际象棋
chest n.；胸腔，胸膛；箱子
clear adj.；清晰的；vt.；清除
clearly adv.；明白地，清晰地
clerk n.；店员；办事员，职员
clever adj.；聪明的；机敏的
cliff n.；悬崖，峭壁
climate n.；气候；风土，地带
climb vi.；攀登，爬；vt.；爬
cloak n.；斗篷；覆盖(物)
clock n.；钟，仪表
close vt.；关，闭；结束
closely adv.；紧密地，接近地
cloth n.；布；衣料；桌布
clothe vt.；给…穿衣服
clothes n.；衣服，服装；被褥
clothing n.；衣服，被褥
cloud n.；云；云状物；阴影
cloudy adj.；多云的；云一般的
club n.；俱乐部，夜总会
clue n.；线索，暗示，提示
clumsy adj.；笨拙的；愚笨的
coach n.；长途公共汽车
coal n.；煤，煤块
coarse adj.；粗的，粗糙的
coast n.；海岸，海滨(地区)
coat n.；外套，上衣；表皮
cock n.；公鸡；雄禽；旋塞
code n.；准则；法典；代码
coffee n.；咖啡，咖啡茶
coil n.(一)卷；线圈；vt.；卷
coin n.；硬币；铸造(硬币)
cold adj.；冷的；冷淡的；n.；冷
collapse vi.；倒坍；崩溃，瓦解
collar n.；衣领，项圈
colleague n.；同事，同僚
collect vt.；收集；vi.；收款
collection n.；搜集，收集；收藏品
collective adj.；集体的；集合性的
college n.；学院；大学
collision n.；碰撞；冲突
colonel n.；陆军上校；中校
colony n.；殖民地；侨居地
color n.；颜色，彩色；颜料
column n.；柱，支柱，圆柱
comb n.；梳子；vt.；梳理
combination n.；结合，联合；化合
combine vt.；使结合；兼有
computer n.；计算机，电脑
comrade n.；同志，亲密的同伴
conceal vt.；把…隐藏起来
concentrate vt.；集中；聚集；浓缩
concentration n.；集中；专注；浓缩
concept n.；概念，观念，设想
concern n.；关心，挂念；关系
concerning prep.；关于
concert n.；音乐会，演奏会
conclude vt.；推断出；结束
